四字熟語,読み,意味,漢検配当級
無常迅速,むじょうじんそく,人の世の移り変わりは、この上なく速くてはかないということ。 「無常」は仏教語で世の中は変化がとても速くて変化しないものはないということ。または、人の命ははかないということ。 「迅速」は非常に速い様子のこと。,準2級
無声無臭,むせいむしゅう,誰にも気づかれずに目立たないことや、行動しても影響がまったく無いこと。 または、天の行いは、はかりしることができないので、人は気がつかないということ。 何の声もなく、何のにおいもしないという意味から。,準2級
無駄方便,むだほうべん,役にたっていないように見えるものが、実際は何かの役にたっていることもあること。 「方便」は状況にあわせた方法のこと。,準2級
迷悟一如,めいごいちにょ,仏教では、迷いも悟りも仏になる本性をもつという観点からどちらも同一のものであるということ。,準2級
明珠暗投,めいしゅあんとう,どんなに貴重なものでも、人に贈るときに礼を失すれば恨まれることのたとえ。 「明珠」はそれ自身が光を発する宝玉、「暗投」は暗闇に物を投げるという意味。 暗闇にいる人に明月の珠を投げつけても、剣に手をかけて睨まない人はいない。 それは理由もなく急に前に飛んでくるからだと書状を奉り、身の潔白を主張した故事から。,準2級
妄言多謝,もうげんたしゃ,独断と偏見でいい加減な言葉を並べ立てた後に、相手にわびる言葉。 手紙などで自分の意見などを包み隠さずに記した手紙の末尾に記して、失礼をわびる言葉。,準2級
妄評多罪,もうひょうたざい,他人の文章を批評したあとに、末尾に付記する言葉で、見当外れで無遠慮な批評をわびるという意味。,準2級
目挑心招,もくちょうしんしょう,遊女が客を流し目で誘惑する様子のこと。 「目挑」は流し目で誘うこと、「心招」は心の中で誘い招くこと。,準2級
問柳尋花,もんりゅうじんか,春の景色を楽しむこと。 または、色町で遊ぶこと。 花や柳を探しながら景色を楽しむということから。または、花や柳を遊女や芸妓にたとえて、花柳界に遊ぶこと。 「柳を問い、花を尋ねる」とも読む。,準2級
唯一無二,ゆいいつむに,世の中に一つだけで他に並ぶものがないもののこと。 「唯一」は一つだけ、「無二」は二つとないということで、同じ意味を持つ同義語を並べたもの。,準2級
唯我独尊,ゆいがどくそん,この世で自分だけがすぐれていると増長すること。 釈迦が生まれた時の故事から。,準2級
幽愁暗恨,ゆうしゅうあんこん,誰にも知られることのない深い恨みや憂いのこと。 「幽愁」は奥深い嘆き、「暗恨」は深い恨みのこと。,準2級
雄大豪壮,ゆうだいごうそう,規模が大きくて、立派なこと。 「雄大」は雄々しくて大きいという意味。 「豪壮」は大きくて立派という意味。,準2級
有備無患,ゆうびむかん,日頃から十分に準備をしておけば、何が起こっても困らないという意味。 「備え有れば患い無し」の形で使うことが多い言葉。,準2級
悠悠閑閑,ゆうゆうかんかん,のんびりとしていて落ち着いている様子。 「悠悠」はあせらずにゆったりとしている様子。 「閑閑」は静かで落ち着いていること。 似ている意味の言葉を重ねて強調した言葉。 「悠悠」は「優優」、「閑閑」は「緩緩」とも書く。,準2級
悠悠自適,ゆうゆうじてき,世間のうんざりするようなことから離れて、思いのままのんびりと生活すること。 「悠悠」は落ち着いていてのんびりと余裕のある様子。 「自適」は気分のままに楽しみながらのんびりと暮らすこと。 「優遊自適」や「優游自適」とも書く。,準2級
庸言庸行,ようげんようこう,いつもどおりの言葉遣いと行動のこと。 「庸言」はいつもの言動、「庸行」はいつもの行動。,準2級
養生喪死,ようせいそうし,生きているものをしっかりと養って、死んだものをしっかりと弔うこと。 民がこれを十分に果たせるようになることが、王道政治の第一歩とした孟子の思想。 「生を養い死を喪す」とも読む。,準2級
雷騰雲奔,らいとううんぽん,現れたと思う時間すらなく、すぐに去ってしまうこと。 「雷騰」は雷が踊り上がること、「雲奔」は雲が走るように流れること。,準2級
楽禍幸災,らくかこうさい,他人の不幸を見て楽しんだり喜んだりすること。 「楽禍」は他人が災難に遭うところを見て楽しむ、「幸災」は他人が災いに遭うことを幸いとするという意味。,準2級
離群索居,りぐんさっきょ,仲間や群れから離れて一人でいること。 「群」は群れや仲間、「索」は散るや孤立するという意味。,準2級
履霜堅氷,りそうけんぴょう,大きな災難に遭わないように、少しでも災難の前兆があれば準備する、または避けるべきであるということ。 「履霜」は霜を踏むこと。 霜を踏むようになると寒さがさらに厳しくなるので準備をしなければならないという意味。,準2級
